,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mlあたり,,,,,,,,,,,
NO,min,h,計測日時,計測タイム(s),総個数,0μm,1μm,2μm,3μm,4μm,5μm,6μm,7μm,8μm,9μm,10μm,11μm,12μm,13μm,14μm,15μm,16μm,17μm,18μm,19μm,20μm,21μm,22μm,23μm,24μm,25μm,26μm,27μm,28μm,29μm,30μm,31μm,32μm,33μm,34μm,35μm,36μm,37μm,38μm,39μm,40μm,41μm,42μm,43μm,44μm,45μm,46μm,47μm,48μm,49μm,50μm,51μm,52μm,53μm,54μm,55μm,56μm,57μm,58μm,59μm,60μm,61μm,62μm,63μm,64μm,65μm,66μm,67μm,68μm,69μm,70μm,71μm,72μm,73μm,74μm,75μm,76μm,77μm,78μm,79μm,80μm,81μm,82μm,83μm,84μm,85μm,86μm,87μm,88μm,89μm,90μm,91μm,92μm,93μm,94μm,95μm,96μm,97μm,98μm,99μm,100μm,100μm<,,～10μm,10～20μm,20～30μm,30～40μm,40～50μm,50～60μm,60～70μm,70～80μm,80～90μm,90～100μm,３０＜,100μm<
1,0,0.0,12/22/2024 15:45:49,25.36,4259,0,0,0,0,336,1912,1223,328,196,101,56,29,28,14,12,8,2,0,3,3,1,2,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16372,615,28,4,0,0,0,0,0,0,4,0
2,2,0.0,12/22/2024 15:47:32,19.83,3068,0,0,0,0,240,1435,897,234,111,57,28,17,12,9,8,5,2,1,3,0,0,1,2,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15139,429,35,5,0,0,0,0,0,0,5,0
3,4,0.1,12/22/2024 15:49:53,25.5,8218,0,0,0,0,587,3471,2369,722,405,183,147,84,55,43,34,17,19,9,8,7,6,8,12,5,4,4,1,2,2,2,2,2,2,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30918,1682,188,47,0,0,0,0,0,0,47,0
4,6,0.1,12/22/2024 15:52:10,24.23,7396,0,0,0,1,505,3079,2145,649,388,200,132,85,46,42,25,16,17,17,7,5,9,7,5,2,4,1,4,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29298,1655,140,12,0,0,0,0,0,0,12,0
5,8,0.1,12/22/2024 15:54:28,23.81,5941,0,0,0,0,390,2485,1765,541,292,127,98,61,49,35,20,20,6,12,9,10,5,1,3,3,2,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,23931,1365,80,8,0,0,0,0,0,0,8,0
6,10,0.2,12/22/2024 15:56:44,23.41,5366,0,0,0,0,391,2296,1612,459,251,124,63,43,38,22,18,8,10,9,2,8,3,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22196,957,47,4,0,0,0,0,0,0,4,0
7,12,0.2,12/22/2024 15:58:59,22.84,5425,0,0,0,0,371,2318,1610,490,273,137,68,44,32,26,14,10,9,5,2,1,4,2,4,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,23060,941,66,4,0,0,0,0,0,0,4,0
8,14,0.2,12/22/2024 16:01:12,22.34,5101,0,0,0,0,373,2215,1568,421,212,124,69,35,23,20,10,6,4,2,3,3,3,0,1,1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22301,797,49,9,0,0,0,0,0,0,9,0
9,16,0.3,12/22/2024 16:03:26,22,4864,0,0,0,0,372,2187,1416,399,212,101,54,31,27,19,12,2,12,4,4,1,4,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21550,773,41,9,0,0,0,0,0,0,9,0
10,18,0.3,12/22/2024 16:05:38,21.66,4519,0,0,0,0,321,2063,1295,395,179,91,64,24,20,17,13,9,2,8,3,8,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20351,780,32,0,0,0,0,0,0,0,0,0
11,20,0.3,12/22/2024 16:07:50,21.42,4384,0,0,0,0,334,1996,1299,338,178,82,61,30,21,7,6,6,6,2,3,6,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20019,710,42,0,0,0,0,0,0,0,0,0
12,22,0.4,12/22/2024 16:10:01,21.22,4176,0,0,0,0,313,1887,1231,353,154,74,54,22,26,20,13,2,5,9,6,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19161,754,24,0,0,0,0,0,0,0,0,0
